name	len	score	pvalue
NC_001465.1	1291	0.710564136505127	0.0322531913286502
NC_002210.1	1191	0.23362578451633453	0.13664174031271245
NC_002206.1	2204	0.8340063095092773	0.02262255457360828
NC_002204.1	2368	0.6469518542289734	0.037389530931339225
NC_001939.1	2544	0.42379650473594666	0.09092454112848403
NC_002556.1	2572	0.3980153203010559	0.09709947881259914
NC_002208.1	1841	0.8539446592330933	0.021262935267014126
NC_005818.1	1981	0.081234872341156	0.20254550947956795
NC_002195.1	2915	0.7212932109832764	0.031309011254626484
NC_001998.1	4529	0.6678003072738647	0.03574665760253796
NC_001829.1	4767	0.7728348970413208	0.027513407357051135
NC_001422.1	5386	0.9999967813491821	0.0005098572399728076
NC_001541.1	7868	0.17058315873146057	0.15701714631014427
NC_001954.1	8454	0.6142217516899109	0.04063751038598081
NC_002211.1	1096	0.3243292272090912	0.1136226301080142
NC_002209.1	1557	0.33357173204421997	0.11173426995996677
NC_002205.1	2313	0.10330327600240707	0.18787295112923938
NC_002207.1	1882	0.6856842041015625	0.034273736687060956
NC_001505.2	4754	0.03636990487575531	0.25575949845154466
NC_005817.1	2928	0.08935293555259705	0.19644610620137473
NC_001442.1	4697	0.4765414595603943	0.07521338469672936
NC_001938.1	2601	0.7606008052825928	0.028627539844399124
NC_001546.1	300	0.6531267762184143	0.07641926320061325
NC_002797.1	1787	0.986213207244873	0.008252133846967293
NC_003054.1	1821	0.5089967250823975	0.057500566508044415
NC_002984.1	2632	0.6095525026321411	0.04126066923483647
NC_001421.2	14927	0.9999709725379944	0.0010008308784651408
NC_002800.1	1585	0.6812670230865479	0.03472694312259234
NC_002985.1	2600	0.9977575540542603	0.0048153183775209605
NC_003378.1	7767	0.9978001713752747	0.004758667573079538
NC_005819.1	977	0.6468073725700378	0.08034017573237502
NC_003471.1	2135	0.4491213262081146	0.08371100536294282
NC_003138.2	8303	0.8885564208030701	0.01860034745826724
NC_002166.1	40751	0.5603546500205994	0.04681244807009593
NC_003609.1	2757	0.5440647006034851	0.0498527079084523
NC_003709.1	2753	0.4580848515033722	0.08155827479416874
NC_003867.1	2620	0.6641838550567627	0.035992144421784125
NC_001895.1	33593	0.8791565895080566	0.019317924314525267
NC_000929.1	36717	0.6003929972648621	0.042280383714782085
NC_001540.1	5517	0.928753137588501	0.015673389228793716
NC_001678.1	8028	0.19337806105613708	0.1489538484779817
NC_003708.1	2745	0.544674813747406	0.049758289901049926
NC_001902.1	26111	0.808032751083374	0.024680867134979984
NC_003868.1	2586	0.6495108604431152	0.03716292771357353
NC_001936.1	2634	0.502875030040741	0.0600876199108694
NC_001792.2	1758	0.12372764199972153	0.17686381146612282
NC_003470.1	2180	0.256161630153656	0.13082559105672634
NC_001669.1	5243	0.21291492879390717	0.14260895838054233
NC_000872.1	40739	0.997896671295166	0.00468313316715764
NC_001418.1	5833	0.931390643119812	0.015465669612508498
NC_003288.1	43081	0.9893897771835327	0.007572324193670217
NC_001937.1	2607	0.8237889409065247	0.0234156658357882
NC_002656.1	50550	0.99869704246521	0.004022207115341038
NC_001484.1	3311	0.08793565630912781	0.1975035878842813
NC_002232.1	7565	0.4543215334415436	0.08237026965782913
